DATATYPE	 3 Dimensional Data
XYZUNITS	 Nanometer;Nanometer;Emission
DECIMALSYMBOL	 ,
305,0	10,488	12,952	16,965	23,639	31,817	65,022	44,206	19,774	11,364	11,054	794,996	1015,749	400,526	1,148	0,525	0,325	0,221	0,027	0,049	0,059	0,029	0,132	0,106	0,078	-0,027	-0,071	-0,107	-0,030	-0,020	-0,042	-0,002	0,069	0,032	0,023	0,005
306,0	11,417	13,617	17,980	23,735	30,681	60,679	51,286	21,292	11,508	7,915	465,771	1015,749	717,605	2,708	0,583	0,312	0,249	0,121	0,090	-0,002	0,059	0,052	0,188	0,056	0,033	-0,113	-0,199	-0,047	-0,004	0,080	0,020	0,098	0,028	0,103	-0,001
307,0	11,627	13,525	18,230	23,088	30,250	56,400	57,386	22,506	12,339	7,995	242,512	1015,749	994,519	10,795	0,654	0,376	0,189	0,174	0,074	0,010	0,045	0,146	0,173	0,054	-0,040	-0,136	-0,132	-0,045	0,037	0,041	0,051	0,060	0,077	0,078	0,064
308,0	11,704	13,766	17,903	23,755	30,126	50,296	61,879	24,983	12,915	8,240	100,713	1015,749	1015,749	44,907	0,868	0,406	0,199	0,108	0,034	0,029	0,090	0,051	0,179	0,107	0,001	-0,043	-0,136	-0,014	0,057	0,031	-0,005	-0,023	0,076	0,069	0,013
309,0	12,020	14,686	18,406	23,320	29,731	45,868	66,543	28,158	14,018	8,583	34,658	1015,749	1015,749	132,935	0,937	0,344	0,313	0,143	0,024	0,059	0,059	0,138	0,125	-0,012	-0,039	-0,047	-0,083	-0,116	-0,059	0,044	0,094	0,008	0,051	0,056	0,061
310,0	12,609	15,599	19,409	24,032	30,262	41,815	66,815	32,508	14,250	9,106	12,042	965,206	1015,749	317,757	1,293	0,412	0,286	0,132	0,081	0,025	0,101	0,134	0,130	0,007	-0,037	-0,114	-0,100	-0,037	0,008	0,074	0,030	0,065	0,003	0,069	0,036
311,0	12,439	14,735	19,385	23,831	29,956	38,918	65,325	37,300	15,191	9,845	7,655	631,101	1015,749	603,874	2,105	0,592	0,287	0,251	0,087	0,061	0,085	0,074	0,054	0,077	-0,038	-0,077	-0,080	-0,131	0,019	0,003	0,032	0,039	0,036	-0,001	0,040
312,0	13,053	15,863	19,458	24,605	29,774	35,519	62,583	43,617	16,250	9,521	7,373	326,269	1015,749	957,730	7,928	0,557	0,281	0,192	0,175	0,040	0,017	0,069	0,094	0,114	0,010	-0,047	-0,074	-0,074	0,014	-0,008	0,009	0,066	0,037	0,085	0,105
313,0	13,621	15,928	20,328	25,144	29,975	35,357	57,928	49,777	17,365	10,194	7,455	143,922	1015,749	1015,750	34,023	0,677	0,260	0,291	0,107	0,081	0,133	0,091	0,204	0,077	-0,103	-0,072	-0,056	-0,123	0,076	0,002	0,104	0,070	0,104	0,102	0,032
314,0	14,169	16,130	20,328	24,875	30,701	34,674	52,113	55,511	19,168	10,707	7,786	44,716	1015,749	1015,750	122,231	0,940	0,412	0,272	0,023	0,154	0,031	0,087	0,116	0,098	-0,027	-0,048	-0,078	-0,029	-0,019	0,038	0,014	0,065	0,082	0,058	0,165
315,0	13,511	17,089	20,177	25,822	30,776	34,135	47,644	60,356	21,839	11,106	8,045	13,542	952,732	1015,750	308,517	1,091	0,499	0,192	0,233	0,149	0,093	0,085	0,203	0,029	-0,092	-0,073	-0,078	-0,089	-0,017	-0,046	-0,012	-0,017	-0,003	-0,043	0,112
316,0	14,520	16,916	20,817	25,262	30,501	35,188	42,925	61,228	26,332	11,786	8,253	7,380	605,512	1015,750	617,857	1,770	0,468	0,322	0,124	0,063	0,105	0,041	0,136	0,070	-0,053	-0,077	-0,066	-0,082	-0,005	-0,042	-0,047	0,031	0,015	-0,037	0,049
317,0	14,770	16,978	22,043	25,904	31,738	34,210	39,480	61,783	31,807	12,856	8,922	6,969	312,863	1015,750	979,971	5,804	0,567	0,350	0,191	0,181	0,127	0,043	0,244	0,137	-0,073	-0,115	-0,097	-0,094	-0,019	0,007	0,011	0,080	0,033	0,043	0,000
318,0	15,198	17,615	20,954	26,188	31,510	35,909	37,956	59,209	37,710	12,952	9,098	6,769	133,451	1015,750	1015,749	27,249	0,634	0,347	0,181	0,088	0,133	0,186	0,262	0,107	-0,050	-0,031	-0,114	-0,103	-0,027	0,027	0,002	0,033	0,056	0,017	0,120
319,0	15,696	17,998	23,068	27,436	32,051	35,669	36,685	56,277	43,346	14,643	9,473	7,050	39,895	1015,750	1015,749	107,306	0,738	0,384	0,209	0,214	0,183	0,149	0,298	0,022	-0,035	-0,103	-0,112	-0,011	0,002	0,050	-0,008	0,028	0,059	0,022	0,088
320,0	15,686	18,807	22,764	27,140	32,729	37,102	37,215	50,798	49,458	16,908	10,252	7,733	13,294	969,698	1015,749	267,296	1,046	0,527	0,262	0,162	0,208	0,166	0,248	0,069	0,003	-0,065	-0,079	-0,052	-0,002	-0,012	0,023	-0,021	0,026	-0,004	0,106
321,0	16,992	18,223	22,764	27,629	33,789	36,605	36,691	46,282	54,656	19,856	10,774	8,056	6,697	612,311	1015,749	552,181	1,650	0,567	0,281	0,244	0,181	0,195	0,348	0,047	-0,073	-0,025	-0,102	-0,084	-0,065	-0,001	-0,050	0,039	0,018	0,130	0,147
322,0	17,241	18,944	23,349	29,108	34,048	38,474	37,938	42,543	58,038	24,045	11,709	8,646	6,171	313,971	1015,749	949,767	6,350	0,596	0,305	0,156	0,155	0,297	0,291	0,083	-0,034	-0,068	-0,129	-0,130	-0,073	-0,037	-0,036	0,041	0,020	0,006	0,091
323,0	17,415	19,873	23,797	29,036	34,673	39,279	38,306	40,277	58,409	30,045	12,506	9,149	6,654	128,389	1015,749	1015,749	33,358	0,782	0,389	0,198	0,194	0,277	0,327	0,108	-0,075	-0,096	-0,113	-0,038	-0,008	-0,058	0,029	0,140	0,094	0,067	0,125
324,0	18,013	19,400	24,606	30,739	35,732	39,805	39,939	39,026	56,863	35,704	14,417	10,108	7,085	44,029	1015,749	1015,749	118,105	0,671	0,333	0,237	0,175	0,159	0,360	0,092	-0,061	-0,006	-0,106	-0,163	-0,064	0,018	-0,069	0,019	0,116	0,127	0,154
325,0	19,039	20,961	25,210	30,874	37,222	40,842	40,349	38,971	55,136	42,112	16,097	10,965	7,933	13,863	1013,155	1015,749	280,578	0,975	0,319	0,280	0,137	0,239	0,456	0,100	-0,057	-0,030	-0,106	-0,093	-0,087	0,009	0,014	0,080	0,055	0,066	0,119
326,0	18,835	22,210	25,467	30,736	37,003	41,955	42,225	38,872	50,890	47,807	18,129	11,884	8,135	7,242	757,883	1015,749	578,406	1,528	0,348	0,200	0,114	0,285	0,486	0,081	0,038	-0,046	-0,134	-0,097	-0,040	-0,041	0,028	-0,015	0,055	0,129	0,146
327,0	18,554	21,444	25,400	31,936	37,805	42,178	42,309	39,588	46,630	53,701	20,560	12,062	8,764	6,700	390,229	1015,749	952,532	5,287	0,512	0,304	0,154	0,235	0,427	0,094	-0,030	-0,149	-0,081	-0,011	-0,021	0,010	0,008	0,107	0,094	0,047	0,110
328,0	19,707	21,942	26,390	32,959	38,272	43,231	44,631	40,606	43,876	57,582	24,151	13,188	9,418	6,566	165,729	1015,749	1015,749	28,191	0,654	0,328	0,245	0,270	0,350	0,111	-0,002	0,000	0,000	-0,116	0,024	-0,007	0,039	0,054	0,068	0,073	0,113
329,0	20,770	22,997	26,490	33,123	37,597	42,687	44,163	41,659	40,642	58,318	29,353	13,682	10,425	7,233	49,910	1015,749	1015,749	112,614	0,737	0,341	0,264	0,336	0,442	0,109	-0,033	-0,082	-0,131	-0,073	-0,090	0,002	-0,053	0,046	0,044	0,125	0,027
330,0	21,114	23,036	27,544	33,385	38,972	44,026	45,535	41,428	39,043	56,977	34,723	15,072	10,875	7,603	15,506	984,566	1015,749	267,169	0,978	0,474	0,232	0,438	0,461	0,125	-0,043	0,053	-0,025	0,019	-0,063	-0,014	0,003	0,042	0,033	0,183	0,107
331,0	21,493	24,125	27,787	33,827	38,591	44,478	46,632	42,675	38,284	54,294	40,602	16,023	11,003	7,969	7,523	679,029	1015,749	592,969	1,488	0,537	0,307	0,335	0,405	0,214	-0,065	-0,063	-0,079	-0,066	-0,005	0,050	-0,101	0,044	0,078	0,083	0,124
332,0	21,648	24,337	26,796	33,324	39,593	45,443	46,472	43,645	38,377	49,520	45,791	17,567	12,121	8,426	6,998	327,388	1015,749	969,254	4,811	0,541	0,346	0,235	0,404	0,234	-0,042	-0,067	0,018	-0,103	-0,044	-0,061	-0,032	0,020	-0,001	0,188	0,212
333,0	22,495	23,748	29,038	34,043	39,945	45,280	47,265	44,418	39,319	44,348	50,274	19,828	12,493	8,719	7,331	133,261	1015,749	1015,749	24,727	0,622	0,461	0,387	0,457	0,276	-0,038	-0,014	0,023	-0,072	-0,016	0,018	0,035	0,015	0,068	0,116	0,157
334,0	22,752	24,439	29,004	35,660	41,849	44,252	47,970	45,139	39,115	40,891	53,462	23,337	12,551	9,799	7,339	41,799	1015,749	1015,749	94,439	0,829	0,358	0,335	0,495	0,166	-0,013	-0,111	-0,033	-0,016	-0,045	0,012	-0,021	0,058	0,107	0,066	0,155
335,0	23,951	24,558	29,001	33,911	40,335	45,694	48,218	46,208	39,239	38,099	54,050	26,784	13,229	9,950	7,470	13,587	975,330	1015,749	242,973	0,866	0,495	0,324	0,546	0,134	0,047	-0,082	-0,093	-0,049	-0,035	-0,029	0,014	0,070	-0,006	0,159	0,238
